 305 | 12/23/2022 | 08:02:10 AM UTC | System Event | Timestamp Clock Sync | Asserted
 306 | 12/23/2022 | 08:02:10 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 307 | 12/23/2022 | 08:02:38 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 308 | 12/23/2022 | 08:02:39 AM UTC | System Event | Timestamp Clock Sync | Asserted
 309 | 12/23/2022 | 08:02:49 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 30a | 12/23/2022 | 08:02:51 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 30b | 12/23/2022 | 08:02:53 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 30c | 12/23/2022 | 08:02:55 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 30d | 12/23/2022 | 08:02:57 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 30e | 12/23/2022 | 08:03:34 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 30f | 12/24/2022 | 08:21:05 AM UTC | Power Unit #0xff | Power off/down | Asserted
 310 | 12/31/2022 | 01:21:24 AM UTC | Drive Slot / Bay #0x03 | Drive Present | Deasserted
 311 | 12/31/2022 | 01:21:24 AM UTC | Drive Slot / Bay #0x04 | Drive Present | Deasserted
 312 | 12/31/2022 | 01:21:26 AM UTC | Drive Slot / Bay #0x06 | Drive Present | Deasserted
 313 | 12/31/2022 | 01:21:27 AM UTC | Drive Slot / Bay #0x07 | Drive Present | Deasserted
 314 | 12/31/2022 | 01:21:27 AM UTC | Drive Slot / Bay #0x08 | Drive Present | Deasserted
 315 | 12/31/2022 | 01:21:30 AM UTC | Drive Slot / Bay #0x05 | Drive Present | Deasserted
 316 | 12/31/2022 | 01:21:34 AM UTC | Drive Slot / Bay #0x02 | Drive Present | Deasserted
 317 | 12/31/2022 | 01:22:15 AM UTC | System Event | OEM System boot event | Asserted
 318 | 12/31/2022 | 01:23:20 AM UTC | System Event | OEM System boot event | Asserted
 319 | 12/31/2022 | 01:23:40 AM UTC | System Event | Timestamp Clock Sync | Asserted
 31a | 12/31/2022 | 01:23:40 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 31b | 12/31/2022 | 01:23:48 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 31c | 12/31/2022 | 01:23:49 AM UTC | System Event | Timestamp Clock Sync | Asserted
 31d | 12/31/2022 | 01:24:01 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 31e | 12/31/2022 | 01:24:03 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 31f | 12/31/2022 | 01:24:05 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 320 | 12/31/2022 | 01:24:07 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 321 | 12/31/2022 | 01:24:09 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 322 | 12/31/2022 | 01:46:10 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 323 | 12/31/2022 | 01:46:40 AM UTC | Power Unit #0xff | Power off/down | Asserted
 324 | 12/31/2022 | 01:48:37 AM UTC | System Event | OEM System boot event | Asserted
 325 | 12/31/2022 | 01:49:44 AM UTC | System Event | OEM System boot event | Asserted
 326 | 12/31/2022 | 01:50:11 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 327 | 12/31/2022 | 01:50:13 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 328 | 12/31/2022 | 01:50:15 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 329 | 12/31/2022 | 01:50:18 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 32a | 12/31/2022 | 01:50:19 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 32b | 12/31/2022 | 01:52:25 AM UTC | Power Unit #0xff | Power off/down | Asserted
 32c | 12/31/2022 | 01:53:32 AM UTC | System Event | OEM System boot event | Asserted
 32d | 12/31/2022 | 01:54:38 AM UTC | System Event | OEM System boot event | Asserted
 32e | 12/31/2022 | 02:00:02 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 32f | 12/31/2022 | 02:58:59 AM UTC | System Event | OEM System boot event | Asserted
 330 | 12/31/2022 | 03:00:20 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 331 | 01/02/2023 | 02:27:18 AM UTC | System Event | OEM System boot event | Asserted
 332 | 01/02/2023 | 02:28:33 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 333 | 01/13/2023 | 11:58:18 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 334 | 01/13/2023 | 11:58:18 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 335 | 01/13/2023 | 11:58:25 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 336 | 01/13/2023 | 11:58:25 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 337 | 01/16/2023 | 12:52:32 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 338 | 01/16/2023 | 12:52:32 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 339 | 01/16/2023 | 12:52:38 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 33a | 01/16/2023 | 12:52:38 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 33b | 02/08/2023 | 05:02:15 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 33c | 02/08/2023 | 05:02:15 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 33d | 02/08/2023 | 05:02:17 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 33e | 02/08/2023 | 05:02:17 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 33f | 02/14/2023 | 12:38:12 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
